date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:02	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jul%202021%2005:55:03%20GMT	https://bizzan.pro/robots.txt		(from )
22:55:03	5740/5740	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jul%202021%2013:14:08%20GMT	https://bizzan.pro/	C:/My%20Web%20Sites/bizzann/bizzan.pro/index.html	(from )
22:55:04	16958/16958	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2260e84ba1-423e%22	https://bizzan.pro/favicon.ico	C:/My%20Web%20Sites/bizzann/bizzan.pro/favicon.ico	(from https://bizzan.pro/)
22:55:07	20556/20556	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2012%20May%202021%2015:48:24%20GMT	https://ssl.captcha.qq.com/TCaptcha.js	C:/My%20Web%20Sites/bizzann/ssl.captcha.qq.com/TCaptcha.js	(from https://bizzan.pro/)
22:55:08	19987/19987	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cc904f41324148b571599b3b02fdec0b%22	https://static.zdassets.com/ekr/snippet.js?key=09c7e4c3-04d2-4ec6-bbf0-484bd271a172	C:/My%20Web%20Sites/bizzann/static.zdassets.com/ekr/snippet9602.js	(from https://bizzan.pro/)
22:55:11	749518/749518	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Jul%202021%2013:13:42%20GMT	https://bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/css/app.6b9c567274ad2405c301f35f7c5e9381.css	C:/My%20Web%20Sites/bizzann/bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/css/app.6b9c567274ad2405c301f35f7c5e9381.css	(from https://bizzan.pro/)
22:55:12	3103/3103	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Jul%202021%2013:13:52%20GMT	https://bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/js/manifest.67729189474b030c1d78.js	C:/My%20Web%20Sites/bizzann/bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/js/manifest.67729189474b030c1d78.js	(from https://bizzan.pro/)
22:55:13	1843388/1843388	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Jul%202021%2013:13:52%20GMT	https://bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/js/vendor.d0d35c04485a5a2dee16.js	C:/My%20Web%20Sites/bizzann/bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/js/vendor.d0d35c04485a5a2dee16.js	(from https://bizzan.pro/)
22:55:15	973680/973680	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Jul%202021%2013:13:52%20GMT	https://bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/js/app.9a5c68ac84da9ebf2bf1.js	C:/My%20Web%20Sites/bizzann/bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/js/app.9a5c68ac84da9ebf2bf1.js	(from https://bizzan.pro/)
22:55:16	38790/38790	---M--	200	added ('OK')	image/jpeg	etag:%22F9F2675F61C738AD1C480ABC1A1AF3E8%22	https://bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/img/app-download.f9f2675.jpg	C:/My%20Web%20Sites/bizzann/bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/img/app-download.f9f2675.jpg	(from https://bizzanex.oss-cn-hangzhou.aliyuncs.com/assets/css/app.6b9c567274ad2405c301f35f7c5e9381.css)
